--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:36:43
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
	Number of layers : 1
	Number of classes : 1
	Loss function : MSE
	Optimizer : ADAM
	 :Training model
------------------
Validation Loss Decreased(inf--->0.22268) 	 Saving The Model
Validation Loss Decreased(0.22268--->0.15373) 	 Saving The Model
Validation Loss Decreased(0.15373--->0.09947) 	 Saving The Model
Validation Loss Decreased(0.09947--->0.05749) 	 Saving The Model
Validation Loss Decreased(0.05749--->0.02783) 	 Saving The Model
Validation Loss Decreased(0.02783--->0.01277) 	 Saving The Model
Validation Loss Decreased(0.01277--->0.01175) 	 Saving The Model
Validation Loss Decreased(0.01175--->0.01169) 	 Saving The Model
Validation Loss Decreased(0.01169--->0.01163) 	 Saving The Model
Validation Loss Decreased(0.01163--->0.01156) 	 Saving The Model
Validation Loss Decreased(0.01156--->0.01154) 	 Saving The Model
Validation Loss Decreased(0.01154--->0.01152) 	 Saving The Model
Validation Loss Decreased(0.01152--->0.01146) 	 Saving The Model
Validation Loss Decreased(0.01146--->0.01142) 	 Saving The Model
Validation Loss Decreased(0.01142--->0.01139) 	 Saving The Model
Validation Loss Decreased(0.01139--->0.01138) 	 Saving The Model
Validation Loss Decreased(0.01138--->0.01137) 	 Saving The Model
Validation Loss Decreased(0.01137--->0.01134) 	 Saving The Model
Validation Loss Decreased(0.01134--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01111) 	 Saving The Model
Validation Loss Decreased(0.01111--->0.01110) 	 Saving The Model
Validation Loss Decreased(0.01110--->0.01108) 	 Saving The Model
Validation Loss Decreased(0.01108--->0.01106) 	 Saving The Model
Validation Loss Decreased(0.01106--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01103) 	 Saving The Model
Validation Loss Decreased(0.01103--->0.01102) 	 Saving The Model
Validation Loss Decreased(0.01102--->0.01101) 	 Saving The Model
Validation Loss Decreased(0.01101--->0.01100) 	 Saving The Model
Validation Loss Decreased(0.01100--->0.01099) 	 Saving The Model
Validation Loss Decreased(0.01099--->0.01097) 	 Saving The Model
Validation Loss Decreased(0.01097--->0.01096) 	 Saving The Model
Validation Loss Decreased(0.01096--->0.01094) 	 Saving The Model
Validation Loss Decreased(0.01094--->0.01092) 	 Saving The Model
Validation Loss Decreased(0.01092--->0.01091) 	 Saving The Model
Validation Loss Decreased(0.01091--->0.01089) 	 Saving The Model
Validation Loss Decreased(0.01089--->0.01087) 	 Saving The Model
Validation Loss Decreased(0.01087--->0.01085) 	 Saving The Model
Validation Loss Decreased(0.01085--->0.01083) 	 Saving The Model
Validation Loss Decreased(0.01083--->0.01082) 	 Saving The Model
Validation Loss Decreased(0.01082--->0.01080) 	 Saving The Model
Validation Loss Decreased(0.01080--->0.01079) 	 Saving The Model
Validation Loss Decreased(0.01079--->0.01077) 	 Saving The Model
Epoch 100 		 Training Loss: 0.01304 		 Validation Loss: 0.01075
Validation Loss Decreased(0.01077--->0.01075) 	 Saving The Model
Validation Loss Decreased(0.01075--->0.01074) 	 Saving The Model
Validation Loss Decreased(0.01074--->0.01072) 	 Saving The Model
Validation Loss Decreased(0.01072--->0.01071) 	 Saving The Model
Validation Loss Decreased(0.01071--->0.01069) 	 Saving The Model
Validation Loss Decreased(0.01069--->0.01068) 	 Saving The Model
Validation Loss Decreased(0.01068--->0.01066) 	 Saving The Model
Validation Loss Decreased(0.01066--->0.01065) 	 Saving The Model
Validation Loss Decreased(0.01065--->0.01063) 	 Saving The Model
Validation Loss Decreased(0.01063--->0.01062) 	 Saving The Model
Validation Loss Decreased(0.01062--->0.01060) 	 Saving The Model
Validation Loss Decreased(0.01060--->0.01058) 	 Saving The Model
Validation Loss Decreased(0.01058--->0.01057) 	 Saving The Model
Validation Loss Decreased(0.01057--->0.01055) 	 Saving The Model
Validation Loss Decreased(0.01055--->0.01053) 	 Saving The Model
Validation Loss Decreased(0.01053--->0.01052) 	 Saving The Model
Validation Loss Decreased(0.01052--->0.01050) 	 Saving The Model
Validation Loss Decreased(0.01050--->0.01048) 	 Saving The Model
Validation Loss Decreased(0.01048--->0.01046) 	 Saving The Model
Validation Loss Decreased(0.01046--->0.01045) 	 Saving The Model
Validation Loss Decreased(0.01045--->0.01043) 	 Saving The Model
Validation Loss Decreased(0.01043--->0.01042) 	 Saving The Model
Validation Loss Decreased(0.01042--->0.01040) 	 Saving The Model
Validation Loss Decreased(0.01040--->0.01038) 	 Saving The Model
Validation Loss Decreased(0.01038--->0.01037) 	 Saving The Model
Validation Loss Decreased(0.01037--->0.01035) 	 Saving The Model
Validation Loss Decreased(0.01035--->0.01033) 	 Saving The Model
Validation Loss Decreased(0.01033--->0.01032) 	 Saving The Model
Validation Loss Decreased(0.01032--->0.01030) 	 Saving The Model
Validation Loss Decreased(0.01030--->0.01028) 	 Saving The Model
Validation Loss Decreased(0.01028--->0.01027) 	 Saving The Model
Validation Loss Decreased(0.01027--->0.01025) 	 Saving The Model
Validation Loss Decreased(0.01025--->0.01023) 	 Saving The Model
Validation Loss Decreased(0.01023--->0.01022) 	 Saving The Model
Validation Loss Decreased(0.01022--->0.01020) 	 Saving The Model
Validation Loss Decreased(0.01020--->0.01018) 	 Saving The Model
Validation Loss Decreased(0.01018--->0.01017) 	 Saving The Model
Validation Loss Decreased(0.01017--->0.01015) 	 Saving The Model
Validation Loss Decreased(0.01015--->0.01013) 	 Saving The Model
Validation Loss Decreased(0.01013--->0.01012) 	 Saving The Model
Validation Loss Decreased(0.01012--->0.01010) 	 Saving The Model
Validation Loss Decreased(0.01010--->0.01008) 	 Saving The Model
Validation Loss Decreased(0.01008--->0.01007) 	 Saving The Model
Validation Loss Decreased(0.01007--->0.01005) 	 Saving The Model
Validation Loss Decreased(0.01005--->0.01003) 	 Saving The Model
Validation Loss Decreased(0.01003--->0.01002) 	 Saving The Model
Validation Loss Decreased(0.01002--->0.01000) 	 Saving The Model
Validation Loss Decreased(0.01000--->0.00998) 	 Saving The Model
Validation Loss Decreased(0.00998--->0.00997) 	 Saving The Model
Validation Loss Decreased(0.00997--->0.00995) 	 Saving The Model
Validation Loss Decreased(0.00995--->0.00993) 	 Saving The Model
Validation Loss Decreased(0.00993--->0.00992) 	 Saving The Model
Validation Loss Decreased(0.00992--->0.00990) 	 Saving The Model
Validation Loss Decreased(0.00990--->0.00988) 	 Saving The Model
Validation Loss Decreased(0.00988--->0.00987) 	 Saving The Model
Validation Loss Decreased(0.00987--->0.00985) 	 Saving The Model
Validation Loss Decreased(0.00985--->0.00983) 	 Saving The Model
Validation Loss Decreased(0.00983--->0.00982) 	 Saving The Model
Validation Loss Decreased(0.00982--->0.00980) 	 Saving The Model
Validation Loss Decreased(0.00980--->0.00979) 	 Saving The Model
Validation Loss Decreased(0.00979--->0.00977) 	 Saving The Model
Validation Loss Decreased(0.00977--->0.00975) 	 Saving The Model
Validation Loss Decreased(0.00975--->0.00974) 	 Saving The Model
Validation Loss Decreased(0.00974--->0.00972) 	 Saving The Model
Validation Loss Decreased(0.00972--->0.00971) 	 Saving The Model
