--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:23:8
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
	Number of layers : 1
	Number of classes : 1
	Loss function : MSE
	Optimizer : ADAM
	 :Training model
------------------
Validation Loss Decreased(inf--->0.04873) 	 Saving The Model
Validation Loss Decreased(0.04873--->0.02927) 	 Saving The Model
Validation Loss Decreased(0.02927--->0.01745) 	 Saving The Model
Validation Loss Decreased(0.01745--->0.01578) 	 Saving The Model
Validation Loss Decreased(0.01578--->0.01494) 	 Saving The Model
Validation Loss Decreased(0.01494--->0.01472) 	 Saving The Model
Validation Loss Decreased(0.01472--->0.01446) 	 Saving The Model
Validation Loss Decreased(0.01446--->0.01431) 	 Saving The Model
Validation Loss Decreased(0.01431--->0.01424) 	 Saving The Model
Validation Loss Decreased(0.01424--->0.01420) 	 Saving The Model
Validation Loss Decreased(0.01420--->0.01418) 	 Saving The Model
Validation Loss Decreased(0.01418--->0.01414) 	 Saving The Model
Validation Loss Decreased(0.01414--->0.01409) 	 Saving The Model
Validation Loss Decreased(0.01409--->0.01405) 	 Saving The Model
Validation Loss Decreased(0.01405--->0.01403) 	 Saving The Model
Validation Loss Decreased(0.01403--->0.01387) 	 Saving The Model
Validation Loss Decreased(0.01387--->0.01371) 	 Saving The Model
Validation Loss Decreased(0.01371--->0.01357) 	 Saving The Model
Validation Loss Decreased(0.01357--->0.01346) 	 Saving The Model
Validation Loss Decreased(0.01346--->0.01337) 	 Saving The Model
Validation Loss Decreased(0.01337--->0.01330) 	 Saving The Model
Validation Loss Decreased(0.01330--->0.01324) 	 Saving The Model
Validation Loss Decreased(0.01324--->0.01320) 	 Saving The Model
Validation Loss Decreased(0.01320--->0.01317) 	 Saving The Model
Validation Loss Decreased(0.01317--->0.01315) 	 Saving The Model
Validation Loss Decreased(0.01315--->0.01314) 	 Saving The Model
Validation Loss Decreased(0.01314--->0.01313) 	 Saving The Model
Validation Loss Decreased(0.01313--->0.01309) 	 Saving The Model
Validation Loss Decreased(0.01309--->0.01302) 	 Saving The Model
Validation Loss Decreased(0.01302--->0.01293) 	 Saving The Model
Validation Loss Decreased(0.01293--->0.01284) 	 Saving The Model
Validation Loss Decreased(0.01284--->0.01275) 	 Saving The Model
Validation Loss Decreased(0.01275--->0.01267) 	 Saving The Model
Validation Loss Decreased(0.01267--->0.01261) 	 Saving The Model
Validation Loss Decreased(0.01261--->0.01257) 	 Saving The Model
Validation Loss Decreased(0.01257--->0.01255) 	 Saving The Model
Validation Loss Decreased(0.01255--->0.01254) 	 Saving The Model
Validation Loss Decreased(0.01254--->0.01252) 	 Saving The Model
Validation Loss Decreased(0.01252--->0.01248) 	 Saving The Model
Validation Loss Decreased(0.01248--->0.01243) 	 Saving The Model
Validation Loss Decreased(0.01243--->0.01238) 	 Saving The Model
Validation Loss Decreased(0.01238--->0.01234) 	 Saving The Model
Validation Loss Decreased(0.01234--->0.01231) 	 Saving The Model
Validation Loss Decreased(0.01231--->0.01228) 	 Saving The Model
Validation Loss Decreased(0.01228--->0.01226) 	 Saving The Model
Validation Loss Decreased(0.01226--->0.01224) 	 Saving The Model
Validation Loss Decreased(0.01224--->0.01221) 	 Saving The Model
Validation Loss Decreased(0.01221--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01215) 	 Saving The Model
Epoch 100 		 Training Loss: 0.01029 		 Validation Loss: 0.01212
Validation Loss Decreased(0.01215--->0.01212) 	 Saving The Model
Validation Loss Decreased(0.01212--->0.01210) 	 Saving The Model
Validation Loss Decreased(0.01210--->0.01209) 	 Saving The Model
Validation Loss Decreased(0.01209--->0.01207) 	 Saving The Model
Validation Loss Decreased(0.01207--->0.01204) 	 Saving The Model
Validation Loss Decreased(0.01204--->0.01201) 	 Saving The Model
Validation Loss Decreased(0.01201--->0.01198) 	 Saving The Model
Validation Loss Decreased(0.01198--->0.01196) 	 Saving The Model
Validation Loss Decreased(0.01196--->0.01194) 	 Saving The Model
Validation Loss Decreased(0.01194--->0.01192) 	 Saving The Model
Validation Loss Decreased(0.01192--->0.01189) 	 Saving The Model
Validation Loss Decreased(0.01189--->0.01186) 	 Saving The Model
Validation Loss Decreased(0.01186--->0.01184) 	 Saving The Model
Validation Loss Decreased(0.01184--->0.01181) 	 Saving The Model
Validation Loss Decreased(0.01181--->0.01178) 	 Saving The Model
Validation Loss Decreased(0.01178--->0.01176) 	 Saving The Model
Validation Loss Decreased(0.01176--->0.01173) 	 Saving The Model
Validation Loss Decreased(0.01173--->0.01170) 	 Saving The Model
Validation Loss Decreased(0.01170--->0.01168) 	 Saving The Model
Validation Loss Decreased(0.01168--->0.01166) 	 Saving The Model
Validation Loss Decreased(0.01166--->0.01164) 	 Saving The Model
Validation Loss Decreased(0.01164--->0.01163) 	 Saving The Model
Validation Loss Decreased(0.01163--->0.01162) 	 Saving The Model
Validation Loss Decreased(0.01162--->0.01160) 	 Saving The Model
Validation Loss Decreased(0.01160--->0.01159) 	 Saving The Model
Validation Loss Decreased(0.01159--->0.01157) 	 Saving The Model
Validation Loss Decreased(0.01157--->0.01156) 	 Saving The Model
Validation Loss Decreased(0.01156--->0.01156) 	 Saving The Model
Validation Loss Decreased(0.01156--->0.01155) 	 Saving The Model
Validation Loss Decreased(0.01155--->0.01154) 	 Saving The Model
Validation Loss Decreased(0.01154--->0.01154) 	 Saving The Model
Validation Loss Decreased(0.01154--->0.01153) 	 Saving The Model
Validation Loss Decreased(0.01153--->0.01153) 	 Saving The Model
Validation Loss Decreased(0.01153--->0.01153) 	 Saving The Model
Validation Loss Decreased(0.01153--->0.01153) 	 Saving The Model
Validation Loss Decreased(0.01153--->0.01152) 	 Saving The Model
Validation Loss Decreased(0.01152--->0.01152) 	 Saving The Model
Validation Loss Decreased(0.01152--->0.01151) 	 Saving The Model
Validation Loss Decreased(0.01151--->0.01150) 	 Saving The Model
Validation Loss Decreased(0.01150--->0.01149) 	 Saving The Model
Validation Loss Decreased(0.01149--->0.01149) 	 Saving The Model
Validation Loss Decreased(0.01149--->0.01148) 	 Saving The Model
Validation Loss Decreased(0.01148--->0.01148) 	 Saving The Model
Validation Loss Decreased(0.01148--->0.01147) 	 Saving The Model
Validation Loss Decreased(0.01147--->0.01147) 	 Saving The Model
Validation Loss Decreased(0.01147--->0.01146) 	 Saving The Model
Validation Loss Decreased(0.01146--->0.01145) 	 Saving The Model
Validation Loss Decreased(0.01145--->0.01144) 	 Saving The Model
Validation Loss Decreased(0.01144--->0.01144) 	 Saving The Model
Validation Loss Decreased(0.01144--->0.01143) 	 Saving The Model
Validation Loss Decreased(0.01143--->0.01142) 	 Saving The Model
Validation Loss Decreased(0.01142--->0.01142) 	 Saving The Model
Validation Loss Decreased(0.01142--->0.01141) 	 Saving The Model
Validation Loss Decreased(0.01141--->0.01141) 	 Saving The Model
Validation Loss Decreased(0.01141--->0.01140) 	 Saving The Model
Validation Loss Decreased(0.01140--->0.01140) 	 Saving The Model
Validation Loss Decreased(0.01140--->0.01139) 	 Saving The Model
Validation Loss Decreased(0.01139--->0.01139) 	 Saving The Model
Validation Loss Decreased(0.01139--->0.01138) 	 Saving The Model
Validation Loss Decreased(0.01138--->0.01138) 	 Saving The Model
Validation Loss Decreased(0.01138--->0.01137) 	 Saving The Model
Validation Loss Decreased(0.01137--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01135) 	 Saving The Model
Validation Loss Decreased(0.01135--->0.01135) 	 Saving The Model
Validation Loss Decreased(0.01135--->0.01134) 	 Saving The Model
Validation Loss Decreased(0.01134--->0.01134) 	 Saving The Model
